mode,distribution,rho,bmi,quantile_week,week_day,within_10_25
credible_eta025,loglogistic,0.95,32.0,16.889229555657593,16周+6天,True
credible_eta025,loglogistic,0.95,34.0,19.937026150830643,20周+0天,True
credible_eta025,loglogistic,0.95,36.0,23.534822025422393,23周+4天,True
credible_eta025,loglogistic,0.95,40.0,32.79532946976639,32周+6天,False
credible_eta025,loglogistic,0.95,42.0,38.71350905079114,38周+5天,False
credible_eta025,loglogistic,0.95,46.875,58.00771111257169,58周+0天,False
credible_eta025,weibull,0.8,28.5,6.776075612582639,6周+5天,False
credible_eta025,weibull,0.8,30.5,7.969632220446759,8周+0天,False
credible_eta025,weibull,0.8,32.0,9.0008455129459,9周+0天,False
credible_eta025,weibull,0.8,34.0,10.586279214186153,10周+4天,True
credible_eta025,weibull,0.8,36.0,12.450975571075038,12周+3天,True
credible_eta025,weibull,0.8,40.0,17.223581101190177,17周+2天,True
credible_eta025,weibull,0.8,42.0,20.25739007997958,20周+2天,True
credible_eta025,weibull,0.8,46.875,30.08360172208061,30周+1天,False
credible_eta025,weibull,0.9,28.5,9.906343399846536,9周+6天,False
credible_eta025,weibull,0.9,30.5,11.651273991043322,11周+5天,True
credible_eta025,weibull,0.9,32.0,13.15886534303671,13周+1天,True
credible_eta025,weibull,0.9,34.0,15.476704101065192,15周+3天,True
credible_eta025,weibull,0.9,36.0,18.202813357207855,18周+1天,True
credible_eta025,weibull,0.9,40.0,25.18016603100826,25周+1天,False
credible_eta025,weibull,0.9,42.0,29.615469777858095,29周+4天,False
credible_eta025,weibull,0.9,46.875,43.98098640011458,44周+0天,False
credible_eta025,weibull,0.95,28.5,13.094921050701206,13周+1天,True
credible_eta025,weibull,0.95,30.5,15.40149648508694,15周+3天,True
credible_eta025,weibull,0.95,32.0,17.394339750683724,17周+3天,True
credible_eta025,weibull,0.95,34.0,20.458226627965654,20周+3天,True
credible_eta025,weibull,0.95,36.0,24.06179497239908,24周+0天,True
credible_eta025,weibull,0.95,40.0,33.28496428103931,33周+2天,False
credible_eta025,weibull,0.95,42.0,39.14786949809221,39周+1天,False
credible_eta025,weibull,0.95,46.875,58.137248164684635,58周+1天,False
